policy,backend,problem,max_mode,use_ess,success,crashed,objective_final,qs_final,aspect_final,iota_final,nfev,njev,total_wall_time_s,jax_backend,jax_device_kind,solver_device,jax_platforms,message,output_dir
continuation,gpu,qa,1,False,False,False,0.009189380298113626,0.008958948803159932,6.002420878973714,0.3950143121629895,12,10,137.87102001602761,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qa/mode1/no_ess
continuation,gpu,qa,1,True,False,False,0.009189380298113626,0.008958948803159932,6.002420878973714,0.3950143121629895,12,10,139.04407187411562,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qa/mode1/ess
continuation,gpu,qa,2,False,False,False,0.0011889264685948553,0.0011346625185751891,6.006751734847829,0.4070541509603724,20,15,223.76979825389571,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qa/mode2/no_ess
continuation,gpu,qa,2,True,False,False,0.0008186361109561239,0.0007972134846646367,6.000476483911759,0.4053961332150764,20,16,237.52958153700456,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qa/mode2/ess
continuation,gpu,qa,3,False,False,False,0.00013837694262443045,0.0001369798265876258,6.000093920821706,0.40882174072630223,30,22,342.2083280349616,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qa/mode3/no_ess
continuation,gpu,qa,3,True,False,False,0.00039233429504531624,0.0003734956028464226,6.0033051535953454,0.4071867008850695,30,22,350.3546352731064,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qa/mode3/ess
continuation,gpu,qh,1,False,False,False,0.17120892841431598,0.17045324336427548,7.02748972626347,,5,5,72.85077620204538,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qh/mode1/no_ess
continuation,gpu,qh,1,True,False,False,0.17120892841431598,0.17045324336427548,7.02748972626347,,5,5,38.24608914600685,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qh/mode1/ess
continuation,gpu,qh,2,False,False,False,0.05310291854642748,0.05296859392278909,7.01158985002657,,7,6,131.93539800005965,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qh/mode2/no_ess
continuation,gpu,qh,2,True,False,False,0.05575983082409542,0.05564335981852154,7.010792173348028,,7,5,84.91934761195444,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qh/mode2/ess
